rank,symbol,name,signal_date,last_bar_date,sample_count,expected_return_5d,probability_up_5d,train_window_5d,ridge_alpha_5d,validation_mae_5d,validation_direction_accuracy_5d,expected_return_10d,probability_up_10d,train_window_10d,ridge_alpha_10d,validation_mae_10d,validation_direction_accuracy_10d
2209,002675,东诚药业,2026-07-14,2026-07-14,518,-0.03256154257535059,0.016666666666666666,120,10.0,0.01817730355738435,0.7166666666666667,-0.046800226054835414,0.0,120,10.0,0.021667864678076347,0.7333333333333333
2210,002535,林州重机,2026-07-14,2026-07-14,518,-0.0325814145274167,0.2,240,10.0,0.04551754341114758,0.65,-0.055717622302953004,0.15,240,10.0,0.06731138410759017,0.8333333333333334
2211,002391,长青股份,2026-07-14,2026-07-14,518,-0.032630103391248354,0.13333333333333333,120,0.1,0.03617965551200142,0.36666666666666664,-0.026793216867303026,0.26666666666666666,240,0.1,0.05815928378048028,0.48333333333333334
2212,600681,百川能源,2026-07-14,2026-07-14,518,-0.03269903052468445,0.21666666666666667,120,10.0,0.034922724913872744,0.5,-0.06153847427842138,0.08333333333333333,120,10.0,0.05812056921479981,0.4666666666666667
2213,600556,天下秀,2026-07-14,2026-07-14,518,-0.032701227852103096,0.016666666666666666,240,0.1,0.04982619774755493,0.55,-0.03470038163292829,0.03333333333333333,240,10.0,0.08441171785144551,0.4166666666666667
2214,002686,亿利达,2026-07-14,2026-07-14,514,-0.032752504848016464,0.26666666666666666,240,10.0,0.05967680445661758,0.48333333333333334,-0.08427295808126331,0.15,240,1.0,0.07799567956341025,0.7
2215,000633,合金投资,2026-07-14,2026-07-14,513,-0.032767173563259436,0.11666666666666667,120,10.0,0.04080866214333958,0.4666666666666667,-0.0680315355945389,0.06666666666666667,120,0.1,0.05157836563328778,0.7333333333333333
2216,002672,东江环保,2026-07-14,2026-07-14,518,-0.032974655033945866,0.18333333333333332,120,10.0,0.04678206168945058,0.6166666666666667,-0.042584164885111006,0.1,120,10.0,0.06459165898320834,0.43333333333333335
2217,603035,常熟汽饰,2026-07-14,2026-07-14,518,-0.032986404061074906,0.08333333333333333,180,0.1,0.025448860978054568,0.7166666666666667,-0.0435030592823039,0.05,180,0.1,0.031255815616007813,0.8166666666666667
2218,603121,华培动力,2026-07-14,2026-07-14,508,-0.03302344654850317,0.2,240,10.0,0.05459047212518897,0.8,-0.07286831954073153,0.21666666666666667,240,10.0,0.0973452984145931,0.8
2219,000789,万年青,2026-07-14,2026-07-14,518,-0.0330372080227932,0.08333333333333333,180,10.0,0.026377266669146537,0.5833333333333334,-0.05602307054472712,0.03333333333333333,180,10.0,0.03545081399223644,0.95
2220,600282,南钢股份,2026-07-14,2026-07-14,518,-0.03308109523117363,0.05,120,10.0,0.03583552037979383,0.5166666666666667,-0.03319061803045486,0.0,120,10.0,0.046756956874373784,0.45
2221,601567,三星医疗,2026-07-14,2026-07-14,518,-0.03312124566949065,0.16666666666666666,240,10.0,0.053945354665043646,0.7333333333333333,0.008646321079781388,0.5,120,0.1,0.07731430874442974,0.8
2222,603187,海容冷链,2026-07-14,2026-07-14,518,-0.03321395119370441,0.13333333333333333,240,0.1,0.031573887885577016,0.6,-0.051132589684868744,0.1,240,0.1,0.04359152127086681,0.6333333333333333
2223,000030,富奥股份,2026-07-14,2026-07-14,518,-0.03323040084014257,0.13333333333333333,120,10.0,0.03952823793832294,0.4166666666666667,-0.12766778947482385,0.016666666666666666,120,0.1,0.04537282682142581,0.7333333333333333
2224,002692,远程股份,2026-07-14,2026-07-14,518,-0.033293200265027946,0.1,180,10.0,0.05844203917318689,0.65,-0.0658850826852892,0.11666666666666667,240,10.0,0.08695632800807099,0.6333333333333333
2225,002863,今飞凯达,2026-07-14,2026-07-14,518,-0.033326637905119194,0.06666666666666667,120,10.0,0.03002646196191416,0.6166666666666667,-0.039253955530467385,0.05,120,10.0,0.043624607426096626,0.65
2226,603230,内蒙新华,2026-07-14,2026-07-14,518,-0.033451968745202135,0.05,120,0.1,0.02389802448807915,0.7166666666666667,-0.05592330594443029,0.016666666666666666,120,0.1,0.02886516868340357,0.8833333333333333
2227,605028,世茂能源,2026-07-14,2026-07-14,509,-0.03346302491488965,0.15,240,10.0,0.0549459164193687,0.4,0.015331178897489986,0.36666666666666664,120,1.0,0.0731538728650261,0.4166666666666667
2228,000029,深深房Ａ,2026-07-14,2026-07-14,518,-0.03347935690847921,0.3333333333333333,180,0.1,0.08250891063946383,0.6333333333333333,-0.05290983745554685,0.38333333333333336,180,1.0,0.09972711648422852,0.7333333333333333
2229,600868,梅雁吉祥,2026-07-14,2026-07-14,518,-0.0335563314733705,0.15,240,0.1,0.05479402570141205,0.55,-0.09934547240037306,0.03333333333333333,180,0.1,0.06208364319487958,0.6666666666666666
2230,002601,龙佰集团,2026-07-14,2026-07-14,518,-0.03357400879248651,0.2833333333333333,240,10.0,0.05381138458785274,0.5833333333333334,-0.09296826704095157,0.25,240,0.1,0.08230804501284698,0.48333333333333334
2231,001379,腾达科技,2026-07-14,2026-07-14,518,-0.033642105631710426,0.06666666666666667,120,10.0,0.03622977376214058,0.65,-0.02722807042936428,0.1,120,10.0,0.048062307382847974,0.7
2232,002430,杭氧股份,2026-07-14,2026-07-14,518,-0.03366634695621497,0.3333333333333333,120,10.0,0.06703729314794137,0.65,-0.05662339762712172,0.1,120,0.1,0.06743308600648842,0.7666666666666667
2233,002019,亿帆医药,2026-07-14,2026-07-14,518,-0.03376548415223059,0.08333333333333333,240,10.0,0.02971548169542941,0.7,-0.07762482858894265,0.016666666666666666,180,10.0,0.030883291742988265,0.8166666666666667
2234,002067,景兴纸业,2026-07-14,2026-07-14,518,-0.033765850274800537,0.25,120,1.0,0.04232615615167847,0.7166666666666667,0.02103237879204106,0.6166666666666667,120,0.1,0.04687936533396323,0.7833333333333333
2235,000410,沈阳机床,2026-07-14,2026-07-14,518,-0.03377144479351109,0.11666666666666667,240,10.0,0.03329627158391138,0.8,-0.15610123569209847,0.0,120,0.1,0.0430955581655105,0.7833333333333333
2236,605488,福莱新材,2026-07-14,2026-07-14,518,-0.033838270936736546,0.3333333333333333,180,1.0,0.06612829813537016,0.65,-0.1030646307416273,0.06666666666666667,180,10.0,0.05666266475119632,0.7
2237,600435,北方导航,2026-07-14,2026-07-14,518,-0.03388416218151781,0.08333333333333333,180,1.0,0.04480240286298614,0.55,-0.04606065189435104,0.06666666666666667,180,10.0,0.0713744945983091,0.35
2238,601098,中南传媒,2026-07-14,2026-07-14,518,-0.03389810074230418,0.16666666666666666,120,10.0,0.024862184600027253,0.6833333333333333,-0.04277273259876435,0.11666666666666667,120,10.0,0.029180297340161,0.65
2239,002987,京北方,2026-07-14,2026-07-14,518,-0.033975569030655524,0.15,120,10.0,0.044042959198671176,0.8,-0.0469133203946252,0.23333333333333334,180,0.1,0.05951173791510319,0.85
2240,000045,深纺织Ａ,2026-07-14,2026-07-14,518,-0.034023987158640225,0.08333333333333333,120,1.0,0.027418197103331314,0.7,-0.027405200921490968,0.23333333333333334,120,0.1,0.040796396601413924,0.6666666666666666
2241,002445,中南文化,2026-07-14,2026-07-14,508,-0.03404415938517799,0.21666666666666667,180,0.1,0.040902096466043106,0.7166666666666667,-0.11293611859361626,0.016666666666666666,180,0.1,0.044501997620979804,0.9
2242,000863,三湘印象,2026-07-14,2026-07-14,518,-0.034159570203499336,0.21666666666666667,120,1.0,0.06556629940914663,0.5833333333333334,-0.07704771498228415,0.21666666666666667,180,0.1,0.09555076790851849,0.65
2243,002091,江苏国泰,2026-07-14,2026-07-14,518,-0.03417905770694743,0.06666666666666667,180,10.0,0.03700337232089944,0.65,-0.024528441640268562,0.23333333333333334,120,10.0,0.05162577707713763,0.6
2244,601088,中国神华,2026-07-14,2026-07-14,508,-0.034222397614207166,0.21666666666666667,120,0.1,0.03812107979935168,0.6166666666666667,-0.039444203200904,0.03333333333333333,120,0.1,0.04708117214988258,0.6666666666666666
